StateID	variable	value
1	RMSE	NA
2	RMSE	0
3	RMSE	0
4	RMSE	64812.2998190538
5	RMSE	13731.8801820193
6	RMSE	71343.3814354765
7	RMSE	48766.6126828066
8	RMSE	47101.0129754678
9	RMSE	47234.9541526588
10	RMSE	0
11	RMSE	28422.750724393
12	RMSE	0
13	RMSE	0
14	RMSE	47101.0132967402
15	RMSE	0
16	RMSE	1410338.08540563
