StateID	variable	value
1	RMSE	NA
2	RMSE	0
3	RMSE	0
4	RMSE	81200.2778394165
5	RMSE	14964.8071599113
6	RMSE	68836.6294004588
7	RMSE	29874.144975394
8	RMSE	27104.9493090695
9	RMSE	27397.8504646177
10	RMSE	0
11	RMSE	88007.4727357503
12	RMSE	0
13	RMSE	0
14	RMSE	27104.9499100402
15	RMSE	0
16	RMSE	1410814.64888777
