class	var	Estimate	Std.Error	df	t value	P_value
Total	(Intercept)	1.19199861275271	16.9270019758906	176.999999993255	0.0704199488161279	0.943938913233592
Total	Parasutterella	2.22510263731094	0.677372569250674	176.999999992222	3.28490219167334	0.00122978617667464
Total	Faecalibaculum	-0.34510965841223	0.756698106585695	176.999999992954	-0.456073109485371	0.648896487287937
Total	A.muciniphila	0.0657602528705757	0.233066076478666	176.999999992021	0.282152829206764	0.778155968613362
Total	Lachnospiraceae	0.849393695386954	0.699939646680407	176.9999999929	1.21352419371493	0.226546341619852
Total	P.goldsteinii	-1.63352010024122	0.319661110076311	176.999999992069	-5.11016213342707	8.28598541340508e-07
Butyrate	(Intercept)	-0.686345798598243	3.79616140758997	174.584259578245	-0.180799951557902	0.85673431343636
Butyrate	Parasutterella	0.2034633536153	0.15728069636777	174.719226544513	1.29363207509929	0.197500109986243
Butyrate	Faecalibaculum	0.320401411125561	0.166911056761753	164.422032945649	1.91959368864879	0.0566408104126956
Butyrate	A.muciniphila	-0.0956479696460305	0.0600349707278225	98.0766921831654	-1.59320423557238	0.114332259255838
Butyrate	Lachnospiraceae	0.0608139544332889	0.160697387762079	173.502226830509	0.378437728703638	0.705568087208145
Butyrate	P.goldsteinii	-0.230261907963563	0.0852249395719166	58.9678830439832	-2.70181368411834	0.00899124003597209
Iso-butyrate	(Intercept)	0.596074396726538	0.311069061608061	176.810240653243	1.91621241162703	0.0569511975751591
Iso-butyrate	Parasutterella	-0.0202431689386212	0.0126860655600024	162.46865687149	-1.59570111338896	0.112498884224893
Iso-butyrate	Faecalibaculum	0.0158315017039653	0.0138017011755457	170.688057861117	1.147068865106	0.252958492026539
Iso-butyrate	A.muciniphila	-0.00746976046579146	0.0046066692291297	66.4288134318901	-1.62151005298088	0.109645634613931
Iso-butyrate	Lachnospiraceae	-0.0257954580085345	0.0129909514746855	171.057016973761	-1.98564809196618	0.0486702821939542
Iso-butyrate	P.goldsteinii	0.00941804408771575	0.00638401637052595	49.1752592012897	1.47525374953571	0.146518756564405
Acetate	(Intercept)	0.61462481181545	11.9882565255883	176.999999999965	0.0512689072429813	0.959169056284248
Acetate	Parasutterella	2.01489471586208	0.479737412161945	177.000000000521	4.1999949655415	4.22340423978788e-05
Acetate	Faecalibaculum	-0.762060294433082	0.535918352647263	177.000000000365	-1.42197088543199	0.156794431422497
Acetate	A.muciniphila	0.0569686754242451	0.165065019559769	176.999999999946	0.345128698837474	0.730407405496081
Acetate	Lachnospiraceae	0.758118419251664	0.495720154625483	177.000000000065	1.5293274081713	0.127968468613379
Acetate	P.goldsteinii	-1.3528559499789	0.226394455102407	177.00000000022	-5.97565849997053	1.23090800577729e-08
Propionate	(Intercept)	4.74405741916846	2.75416400876397	169.414003635326	1.72250359966672	0.0868032211352715
Propionate	Parasutterella	0.210430113494958	0.115481526238159	176.041736548085	1.82219719767978	0.0701220051378232
Propionate	Faecalibaculum	-0.0675587948591723	0.119903960908648	157.280994470014	-0.563440893421725	0.57393711176114
Propionate	A.muciniphila	-0.0634985912508087	0.0460599649537105	142.2524071298	-1.37860702487776	0.170180089170001
Propionate	Lachnospiraceae	-0.0719309035415317	0.118688182702231	176.170294854566	-0.606049413714542	0.545262014814676
Propionate	P.goldsteinii	-0.120857141277676	0.067917170752032	78.8359614186775	-1.77947844321916	0.0790153306289696
Valerate	(Intercept)	0.442215782053523	0.378674298617088	173.805376714168	1.16779983132863	0.244487002045995
Valerate	Parasutterella	-0.0241205675524129	0.0157197099384327	175.547380894418	-1.53441556153916	0.126727743292864
Valerate	Faecalibaculum	0.0361315109187575	0.0166268480287671	162.467380197821	2.17308240601251	0.0312224465736543
Valerate	A.muciniphila	-0.0130192230616632	0.00604041461041256	100.490224336686	-2.15535255464426	0.033522185273851
Valerate	Lachnospiraceae	-0.0138673474768911	0.016066378974043	173.635291899022	-0.863128368831294	0.389257522375238
Valerate	P.goldsteinii	0.00391761804529801	0.00861435339771834	57.9623648341811	0.454777957720617	0.650967754593941
Iso-valerate	(Intercept)	0.510499466752522	0.189839838951811	176.959596776534	2.68910608843335	0.00784939722624626
Iso-valerate	Parasutterella	-0.0162014867534369	0.00771047249136897	157.227210391012	-2.10123137999295	0.0372154574912844
Iso-valerate	Faecalibaculum	0.000780406018898554	0.00843882587522029	171.539186232921	0.0924780331337483	0.926426156966932
Iso-valerate	A.muciniphila	-0.00687807879296123	0.00276628053753357	57.9112483430141	-2.48639958949853	0.0158099751015496
Iso-valerate	Lachnospiraceae	-0.0164905174419083	0.00790791929724092	169.97948004026	-2.08531686048717	0.0385345904945993
Iso-valerate	P.goldsteinii	0.0115258629122088	0.00382005700997323	44.8971882538053	3.01719657118143	0.00419227435800334
