Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample259	36	BR4	Beijing	4	31	Resistant starch	84689141.15	3969967.942	3001683.078	195761.9399	5971791.65	496772.2345	9087142.951	84198.68382	850406.7066	8329354.797
sample140	37	BR5	Beijing	5	0	Resistant starch	44766611.49	21104657.98	2521812.74	2770192.287	7735248.727	909880.1747	2392553.997	7910128.204	86172.49565	2978020.07
sample155	38	BR5	Beijing	5	1	Resistant starch	30537413.12	44664102.29	594113.0958	1746692.502	3043179.302	400036.1512	1345336.099	231043.9817	29045.52913	1036397.289
sample170	39	BR5	Beijing	5	3	Resistant starch	48801872.28	38188304.08	1135566.45	172143.1943	1921060.185	407935.973	3468902.352	766688.1762	63649.58444	3087004.845
sample185	40	BR5	Beijing	5	5	Resistant starch	47456936.02	28971108.03	782251.0732	25592.85161	802280.2614	180262.694	5384513.433	1013699.47	67876.69341	3913480.831
sample200	41	BR5	Beijing	5	8	Resistant starch	62516902.82	24483588.85	4784825.434	15120.58599	2790588.148	898834.834	1806069.994	1821190.58	60482.34397	1276849.484
sample215	42	BR5	Beijing	5	13	Resistant starch	102770935.5	8372744.354	10805791.84	60769.9187	10913827.25	1444973.622	7080820.897	1224401.325	202566.3957	4510478.41
sample230	43	BR5	Beijing	5	19	Resistant starch	81343242.5	14178172.3	1502799.841	208855.5689	5922375.73	933848.4633	2950384.991	264070.2596	232861.9562	4551611.019
sample245	44	BR5	Beijing	5	25	Resistant starch	89120442.94	26382821.01	2855241.617	541913.2049	8610398.7	862399.5089	3521464.661	118482.8154	217542.2185	6232973.027
sample260	45	BR5	Beijing	5	31	Resistant starch	62107734.81	7489202.31	3994301.328	2789069.806	14551119.85	548979.8034	3206438.688	63101.12683	405650.1011	2186003.322
