Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample145	37	BI5	Beijing	5	0	Inulin	44612502.03	10757911.17	3589337.497	627965.7065	79127.04613	3833452.852	2452938.43	21337365.59	63975.05857	2707155.11
sample160	38	BI5	Beijing	5	1	Inulin	39273282.27	48673197.42	149146211.7	303079.2935	9292945.984	1709278.074	2609601.858	581644.8206	44570.48434	2516003.841
sample175	39	BI5	Beijing	5	3	Inulin	141721859.2	76802596.98	22963033.89	20610536.42	14666854.9	682788.2192	525686.5051	12860185.19	100706.227	4503582.472
sample190	40	BI5	Beijing	5	5	Inulin	167256867.8	71120861.37	1345151.272	17653286.75	21446554.98	259692.9787	1032936.117	14356061.29	49604.27683	4671555.718
sample205	41	BI5	Beijing	5	8	Inulin	141675875.2	15165619.07	903246.43	966967.5185	23618221.47	506582.6539	858641.668	12914671.62	89209.52395	1835167.35
sample220	42	BI5	Beijing	5	13	Inulin	240680485	21260949.61	3347660.967	8040643.632	39803445.56	3608382.227	511013.6679	27188012.9	135575.0548	1546946.138
sample235	43	BI5	Beijing	5	19	Inulin	135995005.2	7271932.68	1076964.013	2810455.637	17323596.8	3070802.793	1015515.615	14919023.99	87321.40643	4400028.646
sample250	44	BI5	Beijing	5	25	Inulin	97977605.34	11709465.88	1244881.738	4037746.856	20099968.8	1188591.434	647338.504	11863181.71	54125.29297	999152.9083
sample265	45	BI5	Beijing	5	31	Inulin	158643041.7	17799565.25	2739557.331	4077217.048	23660328.59	1526594.706	1092044.233	22409578.97	413767.6245	3905286.209
sample411	46	GI1	Guangdong	6	0	Inulin	8398359.992	2977974.882	194215.7531	202870.6441	232643.469	1500065.701	713855.4064	5197088.924	81702.17066	1836567.862
sample426	47	GI1	Guangdong	6	1	Inulin	80741424.39	41774724.96	169881981	3588428.562	45078074.79	58287910.62	3068159.873	7843228.665	131848.9144	4628965.941
sample441	48	GI1	Guangdong	6	3	Inulin	301667682.4	2888071.942	30080251.47	56047821.62	4530636.737	17821619.05	9792695.456	26164009.2	62693.31278	6649670.709
sample456	49	GI1	Guangdong	6	5	Inulin	263490102	4357171.231	24889931.15	2629045.047	10630842.59	9774969.669	2018877.271	14246803.3	110567.3151	8714342.461
sample471	50	GI1	Guangdong	6	8	Inulin	371753695.7	11540430.06	4707280.682	14186919.66	6173696.231	898071.061	676807.1764	40031409.08	121478.2112	4173644.255
sample486	51	GI1	Guangdong	6	13	Inulin	236563051.9	5173357.49	9979438.08	11485273.37	3609807.255	1353677.721	388264.1524	42934669.72	120676.696	3294998.483
sample501	52	GI1	Guangdong	6	19	Inulin	237236854.9	5711106.277	6220683.1	19748505.54	10210765.77	807631.1907	216329.7832	26997956.95	57687.94219	5384207.938
sample516	53	GI1	Guangdong	6	25	Inulin	69975208.57	10471927.96	6440100.402	234513.46	414908.4293	1497278.245	32768746.16	1380021.515	721579.877	36520961.52
sample531	54	GI1	Guangdong	6	31	Inulin	140691129.3	9995097.629	42816837.14	34223079.21	5512498.946	4161810.077	21129838.99	18394694.03	8568432.511	41483031.88
sample412	55	GI2	Guangdong	7	0	Inulin	14737749.59	4417372.65	343539.6486	784364.8614	280709.3884	805646.0786	4475135.953	10147087.02	284762.9536	5232139.25
sample427	56	GI2	Guangdong	7	1	Inulin	57873392.45	23591053.57	74199699.49	2857466.969	21554502.96	21317187.9	435884.7919	16592681.08	82333.79402	355972.58
sample442	57	GI2	Guangdong	7	3	Inulin	158034007.2	6387909.57	12379692.46	36373232.44	6963026.83	3169013.475	2737675.53	11434856.96	73356.79341	9794599.056
sample457	58	GI2	Guangdong	7	5	Inulin	136885521	7339993.073	16361978.73	6364180.583	15970369.77	2816160.608	3049414.032	21743927	32099.09507	14095782.62
sample472	59	GI2	Guangdong	7	8	Inulin	241671526	13209674.93	1290025.092	3508322.207	5098670.601	222967.2998	200215.5345	31891149.4	59154.58974	814513.1972
sample487	60	GI2	Guangdong	7	13	Inulin	185323212.1	4197234.392	2676653.587	5627227.404	8047215.579	437840.9977	524115.0859	15408552.16	92744.64484	7143494.505
sample502	61	GI2	Guangdong	7	19	Inulin	249698006.2	4752640.124	5545906.558	17117854.62	10544412.89	874448.671	459259.5142	41342634.25	81182.23736	2943435.977
sample517	62	GI2	Guangdong	7	25	Inulin	28045920.38	4290058.102	3344639.893	196218.8737	258652.1517	829470.6934	30645820.46	276490.2311	338923.5091	38035244.86
sample532	63	GI2	Guangdong	7	31	Inulin	137559420.5	8975931.796	19136835.88	52101458.58	8761330.516	2724503.206	45868690.97	5868878.482	4422652.465	26675872.15
sample413	64	GI3	Guangdong	8	0	Inulin	25677827.05	4286107.606	574247.3964	2938165.583	192754.3708	748261.7589	2635648.306	3948787.457	278422.9801	5623341.054
sample428	65	GI3	Guangdong	8	1	Inulin	99732558.56	24744575.55	93360178.53	1055338.144	14538834.9	35630078.11	1747515.809	2706631.946	117949.5573	10984828.51
sample443	66	GI3	Guangdong	8	3	Inulin	135909203.5	10147748.71	49749415.93	49284613.72	9111681.22	10116588.78	1246396.975	8883175.108	72706.49021	3440574.983
sample458	67	GI3	Guangdong	8	5	Inulin	212114816.7	6068520.453	102220183.9	3975145.403	9828282.503	4957595.788	4523050.425	21980438.03	83130.41717	3714418.185
sample473	68	GI3	Guangdong	8	8	Inulin	352728549.5	11971341.56	12307902.4	7238188.364	4639427.386	1831913.476	1235476.531	48520145.54	144848.9726	3344307.161
sample488	69	GI3	Guangdong	8	13	Inulin	161210348.5	3210337.911	11439479.15	6355820.512	4377733.516	1431805.72	139688.3629	26538294.51	79821.92165	1095056.988
sample503	70	GI3	Guangdong	8	19	Inulin	309232211	2422173.167	15636377.67	17640488.92	5146040.501	2288565.75	1021450.25	37802279.09	120677.6667	15860493.34
sample518	71	GI3	Guangdong	8	25	Inulin	121610944	10963000.8	6479238.499	387784.8478	5251253.148	1421877.775	29423175.33	88867.36096	1179512.245	16424304.08
sample533	72	GI3	Guangdong	8	31	Inulin	118395963.1	9855800.553	43732621.08	53096296.64	5287018.515	4003503.329	50456112.55	36297543.47	9363675.559	15960810.61
sample414	73	GI4	Guangdong	9	0	Inulin	17138791.1	7853326.624	213695.9625	966318.1464	465819.7078	172456.3908	3938379.099	1939197.134	100287.1403	4704122.965
sample429	74	GI4	Guangdong	9	1	Inulin	350543152.6	72478891.6	49418338.1	6781728.899	30684982.43	7858512.284	5363852.64	10834714.81	153826.1979	3317295.398
