Driver	Score	Group
Porphyromonadaceae	11346532665259663360	UC2
Barnesiellaceae	10895741675198599168	UC2
Enterobacteriaceae	9971291146512967680	UC2
Akkermansiaceae	8892522532633500672	UC2
Acidaminococcaceae	4537439258957367808	UC2
Prevotellaceae	1634868423340400896	UC2
Bacteroidaceae	971694881861897600	UC2
Lachnospiraceae	695862560462323840	UC2
