Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample253	27	BC3	Beijing	3	31	Control	11359374.92	2661049.792	1594841.936	16091.45451	59597.97966	277130.6054	942244.0584	99528.62603	98336.66643	1840385.612	2025735.329	240775.8378	2458416.661	5729153.784	101316.5654
sample134	28	BC4	Beijing	4	0	Control	38677464.08	24842955.39	10245743.47	22628796	4982221.136	4157167.636	4120917.482	3694615.674	184150.7812	8172234.67	156600.6644	69600.29527	5088071.585	23121798.09	5086621.579
sample149	29	BC4	Beijing	4	1	Control	32739454.86	10693670.53	1237597.588	468839.1978	2554484.159	2595852.323	8363263.926	1010072.684	93078.37015	6855049.594	168920.0051	418852.6657	7287691.648	17529759.71	3643845.824
sample164	30	BC4	Beijing	4	3	Control	18908986.9	17056535.32	1011109.017	22469.08926	2075894.191	2328047.304	1557856.855	132317.9701	41193.33031	3506426.208	77393.52968	720259.1391	3204341.785	11675188.44	7103977.055
sample179	31	BC4	Beijing	4	5	Control	18493998.83	11255488.99	3186760.877	124887.5338	1253842.456	1244617.809	1774680.239	106438.2391	24126.00085	1556836.643	1142437.099	799705.9695	1370924.519	4757079.698	1124697.393
sample194	32	BC4	Beijing	4	8	Control	22773246	20400187.24	1130593.702	22770.27596	1335526.186	410854.9793	1396906.93	1169204.17	36630.44394	1485017.998	1100893.342	1312755.91	1427597.302	6311326.49	282153.4196
sample209	33	BC4	Beijing	4	13	Control	13844775.26	5553918.494	976635.8742	6204.80225	472805.9315	438679.5191	980358.7555	617377.8239	25439.68923	1277568.783	909003.5296	941888.9816	1049232.06	3954320.474	63288.98295
sample224	34	BC4	Beijing	4	19	Control	16242038.03	1672384.149	2212994.447	16507.18469	163008.4488	381728.6459	985272.586	132057.4775	45394.75789	2611230.278	5919889.108	469423.0645	1407237.495	10017797.71	154754.8564
sample239	35	BC4	Beijing	4	25	Control	16068665.16	3718515.061	1639017.611	47194.26835	117002.457	521103.3797	3870913.219	863261.8253	34412.48734	5790146.799	5638731.854	137649.9494	5573839.735	7396718.351	1233933.475
sample254	36	BC4	Beijing	4	31	Control	8735008.249	2285554.57	1379924.168	10592.16845	52960.84225	156528.7115	1154546.361	390144.8713	102390.9617	1882463.715	511366.3546	420156.0152	1881286.808	5247242.56	154174.8963
sample135	37	BC5	Beijing	5	0	Control	19941924.42	19352536.4	4775776.462	4727623.846	3164589.928	1040096.507	1094990.489	1814390.574	72228.9241	1251004.965	60672.29625	533530.9861	544124.5616	10645580.36	761774.3862
sample150	38	BC5	Beijing	5	1	Control	30309912.07	14330850	3003183.948	654734.5476	2800949.339	4398602.752	4648868.081	3662974.361	70782.11325	3875320.701	242681.5312	184539.081	1362555.68	6079677.942	1615348.942
sample165	39	BC5	Beijing	5	3	Control	9686753.02	14862019.01	1069465.521	13417.64861	1355182.509	486981.717	473564.0684	1346500.501	12628.37516	801901.8225	370958.5203	35517.30513	536705.9442	2044218.229	1284937.172
sample180	40	BC5	Beijing	5	5	Control	19546982.4	956818.5817	2902922.643	15278.54023	240637.0086	1316819.186	2298465.395	140371.5883	25782.53663	2018677.127	6332954.924	338992.6113	1627164.534	7165635.366	457401.298
sample195	41	BC5	Beijing	5	8	Control	24844761.94	21677514.89	1342537.321	22084.23284	494134.7098	268691.4996	3861980.218	52450.05299	23924.58558	6071323.678	10381429.79	123303.6334	5674727.663	2016106.423	3158045.296
sample210	42	BC5	Beijing	5	13	Control	12658855.16	7269026.593	1143329.123	10080.39598	237154.579	582010.2309	2089294.703	19630.2448	19099.69764	1777332.975	2580581.37	26527.35783	2271802.925	3708524.625	829245.2059
sample225	43	BC5	Beijing	5	19	Control	18184758.7	1165044.771	1838434.158	14603.62526	120074.2522	308298.7556	4978213.59	35697.75065	48678.75088	6177333.487	7137927.504	189847.1284	6073485.485	4650443.334	10220915.06
sample240	44	BC5	Beijing	5	25	Control	12498447.33	2795718.774	3987604.73	13799.70875	69509.6441	451301.5863	1320172.138	43954.62789	22488.41427	1971313.951	92509.15869	87398.15545	1990224.663	7812168.456	273438.6735
sample255	45	BC5	Beijing	5	31	Control	13019424.51	1920610.106	1467597.273	24058.97169	49878.35594	171933.6269	849692.4635	348561.6874	110905.9914	1690582.864	161957.9558	184843.3191	3128839.928	5461386.573	596193.0545
sample401	46	GC1	Guangdong	6	0	Control	32452915.72	1256859.211	1302268.318	3246751.15	147579.5977	3061871.214	8103903.845	29485106.22	312998.4875	6598916.299	228667.2888	1052518.23	4190611.874	1980161.416	1131984.167
sample416	47	GC1	Guangdong	6	1	Control	19787252.74	1725230.344	984683.3567	3112738.71	103757.957	730374.6386	4184904.266	12228180.4	140378.4124	3463684.741	81378.78981	345859.8567	1742523.337	1186095.862	343825.387
sample431	48	GC1	Guangdong	6	3	Control	10670881.5	2167102.616	439454.8284	2216295.321	38042.35828	697880.5036	1237032.547	10310135	17709.37368	2226133.862	68213.88381	190211.7914	914984.3069	2057566.861	30827.42826
sample446	49	GC1	Guangdong	6	5	Control	20729019.15	463417.453	1179608.062	145830.667	55091.58532	2142090.465	3449705.446	12332413.41	42128.85937	8067676.569	437492.0011	568739.6014	4455937.048	3284430.69	734014.3574
sample461	50	GC1	Guangdong	6	8	Control	14880928.21	302774.7278	596556.1469	35973.23499	164877.327	1402956.165	15846210.01	4157906.411	68948.7004	20249933.53	1028234.967	1001255.041	24761576.75	3789180.752	3417457.324
sample476	51	GC1	Guangdong	6	13	Control	28765896.5	222247.4884	1381470.183	103547.1253	78291.72885	2535641.799	2326022.009	9650086.966	95970.50633	7089189.771	0	745034.1939	5480421.02	11738708.25	691997.8615
