StateID	variable	value
1	RMSE	NA
2	RMSE	1636839.70446526
3	RMSE	12416.1656051031
4	RMSE	0
5	RMSE	34492.8200499757
6	RMSE	22842.6680767965
7	RMSE	90661.3105295397
8	RMSE	21300.2973766409
9	RMSE	571647.697879968
10	RMSE	50807.2143355005
11	RMSE	15829.0482594535
12	RMSE	21341.5874589185
13	RMSE	56340.0611388859
14	RMSE	32001.2826045041
15	RMSE	35164.9567002914
