Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample150	38	BC5	Beijing	5	1	Control	30309912.07	14330850	3003183.948	654734.5476	2800949.339	4398602.752	4648868.081	3662974.361	70782.11325	3875320.701
sample165	39	BC5	Beijing	5	3	Control	9686753.02	14862019.01	1069465.521	13417.64861	1355182.509	486981.717	473564.0684	1346500.501	12628.37516	801901.8225
sample180	40	BC5	Beijing	5	5	Control	19546982.4	956818.5817	2902922.643	15278.54023	240637.0086	1316819.186	2298465.395	140371.5883	25782.53663	2018677.127
sample195	41	BC5	Beijing	5	8	Control	24844761.94	21677514.89	1342537.321	22084.23284	494134.7098	268691.4996	3861980.218	52450.05299	23924.58558	6071323.678
sample210	42	BC5	Beijing	5	13	Control	12658855.16	7269026.593	1143329.123	10080.39598	237154.579	582010.2309	2089294.703	19630.2448	19099.69764	1777332.975
sample225	43	BC5	Beijing	5	19	Control	18184758.7	1165044.771	1838434.158	14603.62526	120074.2522	308298.7556	4978213.59	35697.75065	48678.75088	6177333.487
sample240	44	BC5	Beijing	5	25	Control	12498447.33	2795718.774	3987604.73	13799.70875	69509.6441	451301.5863	1320172.138	43954.62789	22488.41427	1971313.951
sample255	45	BC5	Beijing	5	31	Control	13019424.51	1920610.106	1467597.273	24058.97169	49878.35594	171933.6269	849692.4635	348561.6874	110905.9914	1690582.864
sample401	46	GC1	Guangdong	6	0	Control	32452915.72	1256859.211	1302268.318	3246751.15	147579.5977	3061871.214	8103903.845	29485106.22	312998.4875	6598916.299
sample416	47	GC1	Guangdong	6	1	Control	19787252.74	1725230.344	984683.3567	3112738.71	103757.957	730374.6386	4184904.266	12228180.4	140378.4124	3463684.741
sample431	48	GC1	Guangdong	6	3	Control	10670881.5	2167102.616	439454.8284	2216295.321	38042.35828	697880.5036	1237032.547	10310135	17709.37368	2226133.862
sample446	49	GC1	Guangdong	6	5	Control	20729019.15	463417.453	1179608.062	145830.667	55091.58532	2142090.465	3449705.446	12332413.41	42128.85937	8067676.569
sample461	50	GC1	Guangdong	6	8	Control	14880928.21	302774.7278	596556.1469	35973.23499	164877.327	1402956.165	15846210.01	4157906.411	68948.7004	20249933.53
sample476	51	GC1	Guangdong	6	13	Control	28765896.5	222247.4884	1381470.183	103547.1253	78291.72885	2535641.799	2326022.009	9650086.966	95970.50633	7089189.771
