class	var	Estimate	Std.Error	df	t value	P_value
Total	(Intercept)	4.76639637719209	16.7463231782931	177.000000000145	0.284623455933919	0.776265365809184
Total	P.goldsteinii	-1.40965729419757	0.328084648789575	176.999999999697	-4.29662679859698	2.85612969284187e-05
Total	Parasutterella	1.96021347888935	0.669822140702054	177.000000000032	2.92646862469314	0.00387820742427722
Total	Faecalibaculum	-0.277338667199659	0.743901879733077	176.999999999306	-0.372816193580761	0.709731311781333
Total	B.acidifaciens	0.297376865493103	0.139992970587664	176.99999999976	2.12422712543903	0.0350396934769266
Total	Lachnospiraceae	0.384458643436204	0.719149465927154	177.000000000452	0.53460186185433	0.593596093114909
Butyrate	(Intercept)	-1.49445178628271	3.79330252053119	170.129697136574	-0.393971157901068	0.694095686670094
Butyrate	P.goldsteinii	-0.183150009272954	0.0836440825359886	69.7281836868847	-2.18963498337318	0.031899160841185
Butyrate	Parasutterella	0.115473831560243	0.157052917255169	172.171419530216	0.735254292491932	0.463185004772625
Butyrate	Faecalibaculum	0.344391367033205	0.168437757506854	168.453230170004	2.04462094562848	0.0424485116938337
Butyrate	B.acidifaciens	0.00324145598435856	0.0371646552955982	47.0812276116395	0.0872187824312333	0.930867515535185
Butyrate	Lachnospiraceae	0.0513385427915292	0.166036125648114	176.680920342029	0.309201040382819	0.757532930125278
Iso-butyrate	(Intercept)	0.515931044926646	0.312641311919771	174.193339643589	1.65023311141633	0.100697206658483
Iso-butyrate	P.goldsteinii	0.0127650026199064	0.00630856625292059	65.3869228930952	2.02343957535467	0.0471189190082845
Iso-butyrate	Parasutterella	-0.0258195908016563	0.0126229874899442	160.842269370162	-2.04544216036218	0.042440448740025
Iso-butyrate	Faecalibaculum	0.0193623534449315	0.0138910957282326	174.410071712949	1.39386797296192	0.165130877274924
Iso-butyrate	B.acidifaciens	-0.000506266144434936	0.00272220628023247	40.5920169099812	-0.185976407486541	0.853389540090089
Iso-butyrate	Lachnospiraceae	-0.02746462104647	0.0134878815386128	175.282535619974	-2.03624423656487	0.0432306424938715
Acetate	(Intercept)	2.95750076053019	11.8918759791043	176.999999995677	0.248699260379687	0.803881751684079
Acetate	P.goldsteinii	-1.21591776554643	0.232979019484758	176.999999995468	-5.2190011282367	4.998293652796e-07
Acetate	Parasutterella	1.85642538849799	0.475653177147082	176.999999995852	3.90289706384941	0.000134936796917109
Acetate	Faecalibaculum	-0.724737067739491	0.5282585795236	176.999999995451	-1.3719361991112	0.171819652906462
Acetate	B.acidifaciens	0.188352580768353	0.0994116156991882	176.9999999956	1.89467377070194	0.0597661302747951
Acetate	Lachnospiraceae	0.472198827936434	0.510681429481193	176.999999995036	0.9246446036155	0.356409680703705
Propionate	(Intercept)	2.43101094820802	2.70455546082641	172.758157400446	0.898857865338506	0.369979474919112
Propionate	P.goldsteinii	-0.0989963832079251	0.0571644452625842	72.0931511034999	-1.73178245241752	0.0875893670605295
Propionate	Parasutterella	0.189692234862333	0.110707504525975	168.252934852467	1.71345416622435	0.0884708194072139
Propionate	Faecalibaculum	0.0139203513107709	0.120155488390103	172.196501895568	0.115852812861751	0.907904188614749
Propionate	B.acidifaciens	0.0999774065346992	0.0250680755544848	47.4079971987619	3.98823620574307	0.000229158724268374
Propionate	Lachnospiraceae	-0.143088059106316	0.117550944624139	176.232138462293	-1.21724295422577	0.225139256560945
Valerate	(Intercept)	0.317676357471508	0.381182866997505	170.213151279966	0.833396212095722	0.405789240545462
Valerate	P.goldsteinii	0.0109333132241964	0.00829731803522863	64.8629214714067	1.31769243721596	0.192241925745477
Valerate	Parasutterella	-0.0351170588336333	0.0157290933236562	170.191416898757	-2.23261812432748	0.0268783822825972
Valerate	Faecalibaculum	0.0391617421854961	0.0169294269438731	168.755064944176	2.31323495563853	0.0219162084412162
Valerate	B.acidifaciens	-0.000674005054038141	0.00367250822846825	42.6911872744363	-0.183527173285398	0.85525330956403
Valerate	Lachnospiraceae	-0.0144754147614836	0.0166484997284938	176.493668704628	-0.869472625014314	0.385769573132688
Iso-valerate	(Intercept)	0.447919039714298	0.19240241292178	176.999999998339	2.32803234071911	0.0210409981799308
Iso-valerate	P.goldsteinii	0.0134505750811082	0.00376944105268026	176.9999999987	3.56832084468973	0.0004624523336467
Iso-valerate	Parasutterella	-0.0207207723675198	0.00769574280440007	176.999999998364	-2.69249803354559	0.00777300509735084
Iso-valerate	Faecalibaculum	0.0032472082597864	0.00854686220454754	176.999999999432	0.379929871580082	0.70445296035558
Iso-valerate	B.acidifaciens	-0.00189047285817848	0.00160841189115876	176.999999999064	-1.17536612889408	0.241426904455563
Iso-valerate	Lachnospiraceae	-0.0162256719689134	0.00826247594905767	176.999999998869	-1.9637784205307	0.051121979447456
