class	var	Estimate	Std.Error	df	t value	P_value
Total	(Intercept)	14.557861714594	15.3731028127642	150.99999999835	0.946969645093811	0.345167213025501
Total	A.muciniphila	-0.782528066946079	0.42639104159398	150.999999998685	-1.83523571231879	0.068438289127251
Total	Muribaculaceae	0.516910161665985	0.635525380472914	150.999999998427	0.813358801313861	0.417293021315722
Total	Faecalibaculum	-0.565722031685991	0.879923036248969	150.999999998715	-0.642922174304712	0.521249675087053
Total	B.acidifaciens	0.885128061853152	0.312860521933067	150.999999997602	2.82914589665779	0.0053019100153633
Total	L.NK4A136.group	1.09770740188264	0.617102626541683	150.999999998314	1.77880850715922	0.0772831862553935
Butyrate	(Intercept)	1.20069382716833	4.20086197569108	150.999999999091	0.285820822992119	0.775407079054121
Butyrate	A.muciniphila	-0.0981663177541719	0.116515835171559	150.999999998891	-0.842514818776613	0.400832336146007
Butyrate	Muribaculaceae	-0.469131361533048	0.173663992099148	150.999999998537	-2.70137381884675	0.00769505271694932
Butyrate	Faecalibaculum	0.41504956169801	0.240448221125784	150.999999999728	1.72614943772401	0.0863659295318617
Butyrate	B.acidifaciens	0.188410815560333	0.0854924270194983	150.999999998639	2.20383046930416	0.0290502462110492
Butyrate	L.NK4A136.group	0.327051733514415	0.168629780891443	150.999999999768	1.93946604084695	0.0543087425969867
Iso-butyrate	(Intercept)	0.843654697984857	0.149641276098441	149.304734834792	5.63784752430111	8.35586844116997e-08
Iso-butyrate	A.muciniphila	0.0108550026630451	0.00415988466370787	72.6285434036685	2.60944798728376	0.0110059877590713
Iso-butyrate	Muribaculaceae	-0.00762782453966708	0.00619980057265265	75.0277445826224	-1.23033385514261	0.222415711920766
Iso-butyrate	Faecalibaculum	-0.0324040821563835	0.00856843107533107	149.868960579265	-3.78179877640335	0.00022439044226681
Iso-butyrate	B.acidifaciens	-0.00113515703617827	0.00305017294867474	102.075464151161	-0.372161531585112	0.710544107334522
Iso-butyrate	L.NK4A136.group	-0.00911818897055279	0.00600915414132604	149.87046895804	-1.51738310519368	0.13127653792084
Acetate	(Intercept)	13.607561505799	8.89839555345558	151.000000000387	1.52921517413492	0.128303273522286
Acetate	A.muciniphila	-0.824834175851424	0.246807439900998	151.000000000796	-3.342015038859	0.0010485081833844
Acetate	Muribaculaceae	0.74959457011678	0.367860430557513	150.999999999844	2.03771460002025	0.0433242490750561
Acetate	Faecalibaculum	-0.892325879388459	0.509324846682209	150.999999999553	-1.75197790801127	0.0818076578728456
Acetate	B.acidifaciens	0.316411072557151	0.181092698795294	151.000000000908	1.74723263092357	0.0826300138922957
Acetate	L.NK4A136.group	0.845281382460054	0.357196808928185	151.00000000132	2.36643038608444	0.0192294494078137
Propionate	(Intercept)	-2.30293718495408	4.52820765747846	150.999999997898	-0.508575877952665	0.611791786217811
Propionate	A.muciniphila	0.134251337452846	0.12559515168421	150.999999997727	1.06892133695097	0.286810917003582
Propionate	Muribaculaceae	0.242469632297691	0.187196490482712	150.999999999242	1.29526804520987	0.197204551491747
Propionate	Faecalibaculum	-0.025637655292829	0.259184777416956	150.999999998199	-0.0989165164263683	0.921335748090937
Propionate	B.acidifaciens	0.383205064676519	0.0921542923633963	150.999999996755	4.158298597372	5.35696530411541e-05
Propionate	L.NK4A136.group	-0.0600366271814229	0.18176999614131	150.999999999224	-0.330288983087999	0.741639421992325
Valerate	(Intercept)	0.67815673826778	0.265686416928979	146.991361877687	2.55247048797778	0.0117164394920966
Valerate	A.muciniphila	-0.00600654476274489	0.00788484218198395	100.681849906274	-0.761783764863325	0.447969863761168
Valerate	Muribaculaceae	0.00130309835143432	0.0117427784312259	99.9242990233949	0.110970189812079	0.911862573770231
Valerate	Faecalibaculum	-0.007726633964088	0.0153611424282434	150.539710494658	-0.502998653920532	0.615700340673652
Valerate	B.acidifaciens	4.2123719824928e-05	0.00569218938818693	114.937593695679	0.00740026674311784	0.994108324510442
Valerate	L.NK4A136.group	-0.00220373071047107	0.010787127581268	150.949815002909	-0.204292634333711	0.838400008329362
Iso-valerate	(Intercept)	0.655274216313173	0.106756855019438	150.999999999328	6.13800599684078	7.03308487007831e-09
Iso-valerate	A.muciniphila	0.00634288778746501	0.00296102661664635	150.999999998576	2.14212454282121	0.0337869961320888
Iso-valerate	Muribaculaceae	-0.00303892493067838	0.00441333748499929	150.999999998243	-0.688577508746507	0.492145742368144
Iso-valerate	Faecalibaculum	-0.0268195139798075	0.00611053065560057	150.999999998709	-4.38906463143691	2.12797344680185e-05
Iso-valerate	B.acidifaciens	-0.00405254070194629	0.00217262616324808	150.999999999141	-1.86527289899139	0.0640835521012863
Iso-valerate	L.NK4A136.group	-0.00665706890844163	0.00428540265658831	150.999999998698	-1.55342903384053	0.122414093177041
