Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Ruminococcaceae	Erysipelotrichaceae	Rikenellaceae	Peptostreptococcaceae	Desulfovibrionaceae
29348718.5343967	30939010.3946904	8055644.1315618	3452993.50710669	2824123.63364188	1302916.9679345	366526.028886193	94134.9788374849	1.12315246486117e-06	1503.6093737587
32378491.420637	33220197.7258602	9022364.90873247	3683385.71099116	3066162.38484642	1677476.5681409	375846.32562157	172081.863375674	0.000261809043048333	1567.32812585948
35707246.5645757	35647496.7926081	10096986.5574323	3930229.98675877	3326847.06706768	2148992.02560627	385392.777232395	309973.968692239	0.0543141254017699	1633.74709022907
39347820.815142	38204799.6056364	11281470.6163082	4195921.82327776	3605147.19583476	2725777.38164734	395159.460266794	542159.975416917	8.92494144275611	1702.98068313496
43309369.6819303	40869554.7385431	12574579.7017843	4483268.99203638	3899346.99291149	3406134.71046743	405139.437846508	907293.585607936	1033.81925336707	1775.14816811975
47596189.1722872	43612000.6734576	13970962.8039761	4795562.11122507	4206934.23817315	4172417.25423511	415324.698942763	1431503.58254357	75129.886244868	1850.3738613008
57130678.5935998	49171642.186942	17025992.6602507	5511099.15228891	4847672.05188223	5781725.41288749	436273.300403388	2815648.78514906	61470176.5191146	2010.52369260507
91548318.9405425	62885210.6407044	26412063.1899081	8704130.26549909	6617594.03050037	6574363.6841134	503910.604839275	1865444.16297754	27157013.3240953	2579.03760201092
97591686.8463269	64345809.8563391	27642758.621953	9401700.84496485	6851837.75744889	6067149.79646089	516311.98460466	1353516.40992047	1111610.87262674	2688.32786214381
103510365.063062	65506471.3388392	28673706.3976404	10138579.7522239	7062695.34702764	5504198.71320248	529219.147876413	958972.224978338	21011.5415626288	2802.24891495369
109200385.981028	66352086.1134925	29467533.6624917	10907466.5784505	7248698.5646128	4931429.38148622	542715.661643681	675789.660226438	190.815188796795	2920.99687803954
114549863.782321	66872207.0997127	29991303.904771	11698580.3887765	7408759.2780908	4383406.95712669	556892.602635394	482482.811318519	0.866230366130091	3044.77616754291
119441652.708042	67061257.1624415	30218479.9704113	12499463.3712104	7542173.48076066	3883309.09806606	571849.386360672	355482.902528401	0.00204519559489351	3173.7998488565
123757171.924722	66918751.4302936	30130516.085927	13294923.5148898	7648512.75390438	3444095.90665507	587692.737517662	275163.828130976	2.61467813616536e-06	3308.29000527995
127391809.421412	66452246.6986007	29713674.6231664	14067757.5525636	7725312.32495514	3062006.60778361	604491.981601745	225019.037932226	1.91315034452503e-09	3448.47819185021
130260606.460308	65676991.8027303	28960717.1391158	14799181.5259492	7767979.58276644	2724028.8939974	622273.328069993	193095.599918404	8.59721040201533e-13	3594.6058483946
133425961.227394	63281007.588277	26482650.9751777	16054814.4745894	7734019.31737419	2143281.73786979	660880.965822144	159589.16575121	2.22044604925031e-16	3905.69695259406
128502001.024263	55821259.5901679	18629800.538463	17145585.6216354	7111011.56761178	1227625.43034596	750960.348216343	141061.722972364	2.22044604925031e-16	4610.96736845093
124957837.094831	53566040.8150078	16388556.7707873	17018674.2281735	6835551.50521042	1039011.46358806	776295.656235329	138319.427454149	2.22044604925031e-16	4806.34856442234
120582365.290379	51212603.4948372	14166169.2285508	16711514.6880168	6515960.49352429	866398.65175581	802798.902570416	134273.553525219	2.22044604925031e-16	5010.00813524094
115483848.903486	48791127.9923336	12031831.3768085	16231745.7223993	6158858.72958387	711160.55314542	830493.922310886	128454.175388906	2.22044604925031e-16	5222.29690156625
109831816.191307	46334444.7289221	10054326.0929158	15607233.2176156	5775801.71683672	575239.977741894	859415.256829642	121184.252692838	2.22044604925031e-16	5443.58051416143
103795863.900577	43872615.0771753	8278616.38973004	14869516.8810645	5378046.09739562	459135.556287322	889598.671461386	112884.746525931	2.22044604925031e-16	5674.24011562644
97533183.8015398	41432094.6428207	6726478.48540906	14050022.5238206	4975617.14945984	362094.735034502	921079.700730333	103960.015099821	2.22044604925031e-16	5914.67300170702
84871237.135777	36702400.7195909	4292298.81121788	12281768.7855559	4189501.15613509	218408.152093443	988074.413731894	85636.3265469156	2.22044604925031e-16	6426.53271415185
52086906.0975546	24689000.7828017	945218.948257793	7401630.39085085	2308823.65561646	41282.4957504578	1223660.6536326	41527.2855393932	2.22044604925031e-16	8243.55054699152
38819149.9521204	44080038.5410779	8681798.50096339	3662431.25036163	3623194.616385	4088429.78475966	813696.231950139	373742.10871509	5064301.56117157	2415.3948315926
41900657.5314274	47900112.9680811	9894951.58583385	3916895.47270671	3834947.60504535	4326692.2450609	813339.486653983	513403.905512905	3965348.78770733	2492.90177571987
45244699.2280841	52002745.9623567	11270002.3143367	4188940.60120893	4059596.36872027	4572025.45916008	812751.917001389	700213.974892026	3104836.12143235	2572.89563043862
48894349.5604456	56351612.7807676	12818790.7007095	4479668.33179324	4298506.34654549	4816899.90045166	811703.340736264	941393.769436534	2431010.74939866	2655.45599085266
52901232.5932138	60893638.4680292	14550877.6079316	4790233.42349163	4553226.27914738	5052265.00354916	809965.354523423	1238697.53707412	1903362.19085497	2740.66498685678
57327250.1053007	65556863.5027973	16472395.3998082	5121844.26827117	4825512.97682633	5267654.9087728	807312.958183239	1583788.21558319	1490176.85191996	2828.60736324825
67749259.0498905	74857156.316048	20883037.0146524	5853306.44444182	5431032.06504289	5591527.62284948	798396.032040484	2308406.49808601	913267.128715126	3013.04480918051
116809966.500918	93375786.2340701	36099331.9923062	8639601.11914943	7789199.29778354	5134907.67904267	742611.370541107	2106602.4509367	209821.07030751	3641.65202580933
126923037.227622	93949180.9245206	37767063.7963449	9171453.75377668	8206836.58842689	4879221.57402865	733999.566182784	1796252.44408958	164158.610370652	3758.48616034428
136901819.553847	93621765.50439	38728030.0638642	9710316.9818262	8600954.8594158	4596320.09988512	727258.982671992	1496386.69497822	128423.26884662	3879.06613142382
146298532.771999	92374550.0387074	38824633.8931881	10249113.5301019	8955690.61244162	4295642.73414511	722977.443683728	1226278.22627484	100459.26751044	4003.51193419954
154591811.140735	90216526.9983485	37951658.3667658	10779628.7110053	9253939.27090118	3985846.23557367	721748.757869838	995359.447618793	78578.4175233185	4131.94740391622
161213921.658024	87185589.9423857	36080057.596222	11292571.1296278	9478136.89293176	3674546.62777266	724196.241419681	805737.63579089	61458.8293448806	4264.50033865846
165604193.272223	83351171.5343712	33277299.5024869	11777825.1456155	9611582.52270055	3368128.0661627	730983.763694543	654874.636415983	48065.541492446	4401.30263034978
167514504.912716	78878943.1857221	29797300.4331802	12227622.20983	9646125.38991201	3070845.1477767	742438.754668636	536629.452212829	37588.4386426928	4542.4904945659
167063573.934349	74004350.6777722	26003370.5771585	12637311.0506696	9583213.20325341	2785266.14216038	758547.966110358	444034.404352214	29393.377339152	4688.20462196078
160083554.485678	63872739.3730713	18627259.2386388	13320814.6990558	9186240.94536202	2256837.60053813	804942.497991961	314831.419385609	17971.3165766372	4993.79720851566
131320311.558828	45959459.9209771	8368325.64251775	14069894.133923	7571782.8625811	1398992.21185043	959125.650368777	189499.855552184	6716.00146270916	5666.0085617506
123006867.712439	42410913.8791681	6821093.46455456	14120772.0911005	7065197.48449817	1227393.76249589	1012007.22769846	174755.3757403	5250.96800478997	5847.74494869766
114788081.208643	39289457.6669761	5594642.96913521	14117217.9207652	6541389.14129456	1072229.033129	1071317.53960605	164616.753728441	4105.57661143895	6035.30887390231
