Driver	Score	Group
Desulfovibrionaceae	252217352280152640	group1
Bacteroidaceae	75660965353136864	group1
Ruminococcaceae	62421721602506688	group1
Rikenellaceae	48049556987401336	group1
Erysipelotrichaceae	2575333306923177	group1
Peptostreptococcaceae	19057719411955490816	group2
Bacteroidaceae	2801695676481441792	group2
Sutterellaceae	1986502398112544768	group2
Lachnospiraceae	285298023620951904	group2
Rikenellaceae	19672817733471608	group2
