rownames(D_square)	V1
Desulfovibrionaceae	252217352280152640
Bacteroidaceae	75660965353136864
Ruminococcaceae	62421721602506688
Rikenellaceae	48049556987401336
Erysipelotrichaceae	2575333306923177
Akkermansiaceae	1525732957223154
Lachnospiraceae	951403412246234
Sutterellaceae	53216782657455.8
Peptostreptococcaceae	12672465211899.1
Porphyromonadaceae	8292541952165.29
