rownames(D_square)	V1
Peptostreptococcaceae	19057719411955490816
Bacteroidaceae	2801695676481441792
Sutterellaceae	1986502398112544768
Lachnospiraceae	285298023620951904
Rikenellaceae	19672817733471608
Desulfovibrionaceae	5192183015033171
Porphyromonadaceae	3720849180929738
Akkermansiaceae	2720337244878440
Ruminococcaceae	2093267507138829
Erysipelotrichaceae	1263025991204418
