rownames(D_square)	V1
Acidaminococcaceae	489629166880002304
Akkermansiaceae	308724176654426240
Prevotellaceae	258778077308628576
Enterobacteriaceae	242139172788397216
Lachnospiraceae	102616980402416176
Sutterellaceae	61571579281515624
Desulfovibrionaceae	13855144046438470
Ruminococcaceae	11135015080233416
Porphyromonadaceae	8984127521459593
Bacteroidaceae	650142661343998
