rownames(D_square)	V1
Acidaminococcaceae	10823645974322726912
Akkermansiaceae	2508021288887852032
Ruminococcaceae	583584222044163968
Lachnospiraceae	26118732896846676
Porphyromonadaceae	25815458714733324
Bacteroidaceae	6735127234391147
Sutterellaceae	5090299293298358
Enterobacteriaceae	1310170501106042
Desulfovibrionaceae	666370462197868
Prevotellaceae	641530843487752
