rownames(D_square)	V1
Lachnospiraceae	1.4407445804434e+25
Ruminococcaceae	7.90614570580412e+23
Porphyromonadaceae	6.75447840906294e+23
Desulfovibrionaceae	5.73902730694436e+23
Bacteroidaceae	5.28698621542543e+23
Sutterellaceae	5.00903629685592e+23
Prevotellaceae	4.32393347389365e+23
Acidaminococcaceae	9.71377334797718e+22
Enterobacteriaceae	2.50076737765334e+22
Akkermansiaceae	2.98711291804465e+20
