sampleID	isIncluded	subjectID	measurementID	perturbID	exptblock	intv
217	1	3	63	1	1	0
218	1	3	64	1	1	0
219	1	3	64.5	1	1	0
220	1	4	0	0	1	0
221	1	4	1	0	1	0
222	1	4	1.5	0	1	0
223	1	4	2	0	1	0
224	1	4	2.5	0	1	0
225	1	4	3	0	1	0
226	1	4	3.5	0	1	0
227	1	4	4	0	1	0
228	1	4	4.5	0	1	0
229	1	4	5	0	1	0
230	1	4	6	0	1	0
231	1	4	7	0	1	0
232	1	4	8	0	1	0
233	1	4	9	0	1	0
234	1	4	10	0	1	0
235	1	4	11	0	1	0
236	1	4	14	0	1	0
237	1	4	16	0	1	0
238	1	4	18	0	1	0
239	1	4	21	0	1	0
240	1	4	21.5	1	1	0
241	1	4	22	1	1	0
242	1	4	22.5	1	1	0
243	1	4	23	1	1	0
244	1	4	23.5	1	1	0
245	1	4	24	1	1	0
246	1	4	25	1	1	0
247	1	4	29	1	1	0
248	1	4	29.5	1	1	0
249	1	4	30	1	1	0
250	1	4	30.5	1	1	0
251	1	4	31	1	1	0
252	1	4	31.5	1	1	0
253	1	4	32	1	1	0
254	1	4	33	1	1	0
255	1	4	35	1	1	0
256	1	4	35.5	1	1	0
257	1	4	36	1	1	0
258	1	4	36.5	1	1	0
259	1	4	37	1	1	0
260	1	4	37.5	1	1	0
261	1	4	38	1	1	0
262	1	4	39	1	1	0
263	1	4	42	1	1	0
264	1	4	42.5	1	1	0
265	1	4	43	1	1	0
266	1	4	43.5	1	1	0
267	1	4	44	1	1	0
268	1	4	44.5	1	1	0
269	1	4	45	1	1	0
270	1	4	45.5	1	1	0
271	1	4	46	1	1	0
272	1	4	47	1	1	0
273	1	4	50	1	1	0
274	1	4	50.5	1	1	0
275	1	4	51	1	1	0
276	1	4	51.5	1	1	0
277	1	4	52	1	1	0
278	1	4	52.5	1	1	0
279	1	4	53	1	1	0
280	1	4	54	1	1	0
281	1	4	57	1	1	0
282	1	4	58	1	1	0
283	1	4	58.5	1	1	0
284	1	4	59	1	1	0
285	1	4	59.5	1	1	0
