Row.names	sampleID	Subject	subjectID	Time	Group	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae
2-D42PM	46	2	1	42.5	H2	28154426.89	40014.32	2834058.101	494089.9	23728491.82	4311108.5	3775264.273	123522.484	16703370	414061.3
2-D43AM	47	2	1	43	H2	7469983.306	11384.567	584028.311	50661.33	10141941.59	1868207.519	759350.657	22769.135	3692015	200937.628
2-D43PM	48	2	1	43.5	H2	6558490.133	13970.68	258011.662	42506.53	5419136.883	531777.48	592118.942	9214.702	1109331	126627.8
2-D44AM	49	2	1	44	H2	9394413.201	25599.146	412904.7748	34132.2	6142847.328	941479.8	782670.2	11851.4574	1317408	192941.7
2-D44PM	50	2	1	44.5	H2	13588854.05	29026.091	495765.611	156740.9	9057301.36	1033909.244	1223159.044	19157.219	2665176.044	234530.8
2-D45AM	51	2	1	45	H2	8966706.368	81658.48	81356.042	20565.84	3276319.427	58975.56	366858.3	4536.582	1054907	161502.3
2-D45PM	52	2	1	45.5	H2	7875519.472	271622.195	39176.276	20458.72	2748433.756	37652.753	265745.7	4352.92	661208.5	102076
2-D46	53	2	1	46	H2	9267377.631	884958.9	213334.4387	60426.712	2865178.994	53929.2164	318160.7327	65841.2897	1121251.333	95729.77
2-D47	54	2	1	47	H2	28315948.2	4068746.09	1969627.46	3471554	5035669.39	1812023.2	1462738	116712.34	643195.8	739462.24
2-D50AM	55	2	1	50	H2	14525898.3	854393.689	1163694.699	898177.879	1567794.359	39767.274	635472.9	68287.231	11247.31	132155.837
2-D50PM	56	2	1	50.5	H2	12174192.49	322954.6	1073246.072	1497430	988479.247	153070.67	438195.4	72507.161	8056.351	64450.803
2-D51AM	57	2	1	51	H2	15686245.67	1120105.676	1663847.111	1158168	2389061.616	252839.52	822407.984	113505.898	4757.732	93795.288
2-D51PM	58	2	1	51.5	H2	12680665.5	1567200	947650.662	1299990.346	2867190.001	322189.41	673937.5	140108.056	14188.156	204545.946
2-D52AM	59	2	1	52	H2	5622314.968	34510.478	289772.3309	559686.5838	1918704.719	780245.2	111436.0919	87914.9479	159635	220944.1
2-D52PM	60	2	1	52.5	H2	17150025.24	38006.61	1171870.33	2192619	7498160.59	3681211.15	1031608.19	521233.45	941116	820761.7
2-D53	61	2	1	53	H2	11090089.05	62269.87	2998467.175	4419431	12754075.97	6909361.365	1034371.874	930588.591	1375126	1119127.859
2-D54	62	2	1	54	H2	19633595.87	22285.582	4369147.502	5926793	7182995.795	3613784.1	1450908.628	871483.65	52781.65	670913.4
2-D57AM	63	2	1	57	H2	58932984.3	41362.28	14199672.92	27803730	16958536.35	20213747.9	6034757.224	2088795.46	37226.06	827245.7
2-D57PM	64	2	1	57.5	H2	27483613.24	0	5852273.281	10336670	7322012.597	6972766.835	2975856.312	732443.748	14551.86	589350.4
