ID	Group
5-D35PM	H2
5-D36AM	H2
5-D36PM	H2
5-D37AM	H2
5-D37PM	H2
5-D38	H2
5-D39	H2
5-D3AM	H1
5-D3PM	H1
5-D42AM	H2
5-D42PM	H2
5-D43AM	H2
5-D43PM	H2
5-D44AM	H2
5-D44PM	H2
5-D45AM	H2
5-D45PM	H2
5-D46	H2
5-D47	H2
5-D4AM	H1
5-D4PM	H1
5-D5	H1
5-D50AM	H2
5-D50PM	H2
5-D51AM	H2
5-D51PM	H2
5-D52AM	H2
5-D52PM	H2
5-D53	H2
5-D54	H2
5-D57AM	H2
5-D57PM	H2
5-D58AM	H2
5-D58PM	H2
5-D59AM	H2
5-D59PM	H2
5-D6	H1
5-D60AM	H2
5-D60PM	H2
5-D61	H2
5-D62	H2
5-D63	H2
5-D64AM	H2
5-D64PM	H2
5-D7	H1
5-D8	H1
5-D9	H1
6-D0AM	UC1
6-D0PM	UC1
6-D10	UC1
6-D11	UC1
6-D14	UC1
6-D16	UC1
6-D18	UC1
6-D1AM	UC1
6-D1PM	UC1
6-D21AM	UC1
6-D21PM	UC2
6-D22AM	UC2
6-D22PM	UC2
6-D23AM	UC2
6-D23PM	UC2
6-D24	UC2
6-D25	UC2
6-D28AM	UC2
6-D28PM	UC2
6-D29AM	UC2
6-D29PM	UC2
6-D2AM	UC1
6-D2PM	UC1
6-D30AM	UC2
6-D30PM	UC2
6-D31AM	UC2
6-D31PM	UC2
6-D32	UC2
6-D33	UC2
6-D35AM	UC2
6-D35PM	UC2
6-D36AM	UC2
6-D36PM	UC2
6-D37AM	UC2
6-D37PM	UC2
6-D38	UC2
6-D39	UC2
6-D3AM	UC1
6-D3PM	UC1
6-D42AM	UC2
6-D42PM	UC2
6-D43AM	UC2
6-D43PM	UC2
6-D44AM	UC2
6-D44PM	UC2
6-D45AM	UC2
6-D45PM	UC2
6-D46	UC2
6-D47	UC2
6-D4AM	UC1
6-D4PM	UC1
6-D5	UC1
6-D50AM	UC2
6-D50PM	UC2
6-D51AM	UC2
6-D51PM	UC2
6-D52AM	UC2
6-D52PM	UC2
6-D53	UC2
6-D54	UC2
6-D57AM	UC2
6-D57PM	UC2
6-D58AM	UC2
6-D58PM	UC2
6-D59AM	UC2
6-D59PM	UC2
6-D6	UC1
6-D60AM	UC2
6-D60PM	UC2
6-D61	UC2
6-D62	UC2
6-D63	UC2
6-D64AM	UC2
6-D64PM	UC2
6-D7	UC1
6-D8	UC1
6-D9	UC1
7-D0AM	UC1
7-D0PM	UC1
7-D10	UC1
7-D11	UC1
7-D14	UC1
7-D16	UC1
7-D18	UC1
7-D1AM	UC1
7-D1PM	UC1
7-D21AM	UC1
7-D21PM	UC2
7-D22AM	UC2
7-D22PM	UC2
7-D23AM	UC2
7-D23PM	UC2
7-D24	UC2
7-D25	UC2
7-D28AM	UC2
7-D28PM	UC2
7-D29AM	UC2
7-D29PM	UC2
7-D2AM	UC1
7-D2PM	UC1
7-D30AM	UC2
7-D30PM	UC2
7-D31AM	UC2
7-D31PM	UC2
7-D32	UC2
7-D33	UC2
7-D35AM	UC2
7-D35PM	UC2
7-D36AM	UC2
7-D36PM	UC2
7-D37AM	UC2
7-D37PM	UC2
7-D38	UC2
7-D39	UC2
7-D3AM	UC1
7-D3PM	UC1
7-D42AM	UC2
7-D42PM	UC2
7-D43AM	UC2
7-D43PM	UC2
7-D44AM	UC2
7-D44PM	UC2
7-D45AM	UC2
7-D45PM	UC2
7-D46	UC2
7-D47	UC2
7-D4AM	UC1
7-D4PM	UC1
7-D5	UC1
7-D50AM	UC2
7-D50PM	UC2
7-D51AM	UC2
7-D51PM	UC2
7-D52AM	UC2
7-D52PM	UC2
7-D53	UC2
7-D54	UC2
7-D57AM	UC2
7-D58AM	UC2
7-D58PM	UC2
7-D59AM	UC2
7-D59PM	UC2
7-D6	UC1
7-D60AM	UC2
7-D60PM	UC2
7-D61	UC2
7-D62	UC2
7-D63	UC2
7-D64AM	UC2
7-D64PM	UC2
7-D7	UC1
7-D8	UC1
7-D9	UC1
8-D0AM	UC1
8-D0PM	UC1
8-D10	UC1
8-D11	UC1
8-D14	UC1
8-D16	UC1
8-D18	UC1
8-D1AM	UC1
8-D1PM	UC1
8-D21AM	UC1
8-D21PM	UC2
8-D22AM	UC2
8-D22PM	UC2
8-D23AM	UC2
8-D23PM	UC2
8-D24	UC2
8-D25	UC2
8-D28AM	UC2
8-D28PM	UC2
8-D29AM	UC2
8-D29PM	UC2
8-D2AM	UC1
8-D2PM	UC1
8-D30AM	UC2
8-D30PM	UC2
8-D31AM	UC2
8-D31PM	UC2
8-D32	UC2
8-D33	UC2
8-D35AM	UC2
8-D35PM	UC2
8-D36AM	UC2
8-D36PM	UC2
8-D37AM	UC2
8-D37PM	UC2
8-D38	UC2
8-D39	UC2
8-D3AM	UC1
8-D3PM	UC1
8-D42AM	UC2
8-D42PM	UC2
8-D43AM	UC2
8-D43PM	UC2
8-D44AM	UC2
8-D44PM	UC2
8-D45AM	UC2
8-D45PM	UC2
8-D46	UC2
8-D47	UC2
8-D4AM	UC1
8-D4PM	UC1
8-D5	UC1
8-D50AM	UC2
8-D50PM	UC2
8-D51AM	UC2
8-D51PM	UC2
8-D52AM	UC2
8-D52PM	UC2
8-D53	UC2
8-D54	UC2
8-D57AM	UC2
8-D57PM	UC2
8-D58AM	UC2
8-D58PM	UC2
8-D59AM	UC2
8-D59PM	UC2
8-D6	UC1
8-D60AM	UC2
8-D60PM	UC2
8-D61	UC2
8-D62	UC2
8-D63	UC2
8-D64AM	UC2
8-D64PM	UC2
8-D7	UC1
8-D8	UC1
8-D9	UC1
9-D0AM	UC1
9-D0PM	UC1
9-D10	UC1
9-D11	UC1
9-D14	UC1
9-D16	UC1
9-D18	UC1
9-D1AM	UC1
9-D1PM	UC1
9-D21AM	UC1
9-D21PM	UC2
9-D22AM	UC2
9-D22PM	UC2
9-D23AM	UC2
9-D23PM	UC2
9-D24	UC2
9-D25	UC2
9-D28AM	UC2
9-D28PM	UC2
9-D29AM	UC2
9-D29PM	UC2
9-D2AM	UC1
9-D2PM	UC1
9-D30AM	UC2
9-D30PM	UC2
9-D31AM	UC2
9-D31PM	UC2
9-D32	UC2
9-D33	UC2
9-D35AM	UC2
9-D35PM	UC2
9-D36AM	UC2
9-D36PM	UC2
9-D37AM	UC2
9-D37PM	UC2
9-D38	UC2
9-D39	UC2
9-D3AM	UC1
9-D3PM	UC1
9-D42AM	UC2
9-D42PM	UC2
9-D43AM	UC2
9-D43PM	UC2
9-D44AM	UC2
9-D44PM	UC2
9-D45AM	UC2
9-D45PM	UC2
9-D46	UC2
9-D47	UC2
9-D4AM	UC1
9-D4PM	UC1
9-D5	UC1
9-D50AM	UC2
9-D50PM	UC2
9-D51AM	UC2
9-D51PM	UC2
9-D52AM	UC2
9-D52PM	UC2
9-D53	UC2
9-D54	UC2
9-D57AM	UC2
9-D57PM	UC2
9-D58AM	UC2
9-D58PM	UC2
9-D59AM	UC2
9-D59PM	UC2
9-D6	UC1
9-D60AM	UC2
9-D60PM	UC2
9-D61	UC2
9-D62	UC2
9-D63	UC2
9-D64AM	UC2
9-D64PM	UC2
9-D7	UC1
9-D8	UC1
9-D9	UC1
