Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample243	26	BR3	Beijing	3	25	Resistant starch	115959361.3	25174557.44	2068744.962	107574.738	5949710.51	339274.1737	16332741.47	136537.1675	146880.8923	2887967.966	142743.4024	1013685.031	4398151.789	8738378.718	475811.3412
sample258	27	BR3	Beijing	3	31	Resistant starch	57200254.6	6329988.331	2478816.569	110278.5423	4973562.26	377397.6783	8746313.725	58815.22259	465620.5121	6355719.991	102926.6395	477873.6835	8103022.228	6329988.331	151939.325
sample139	28	BR4	Beijing	4	0	Resistant starch	26717362.66	21549231.35	1445712.244	2816375.717	7440744.565	357505.057	1692008.667	523294.6159	35477.60108	1666764.989	48440.57071	146686.2352	592203.0334	6453512.089	2873685.688
sample154	29	BR4	Beijing	4	1	Resistant starch	39232277.56	43480094.41	633025.1207	613379.5135	1073959.86	1124165.3	5149331.93	209553.1434	69851.0478	5077298.037	130970.7146	124422.1789	5544426.919	6760271.72	886235.1689
sample169	30	BR4	Beijing	4	3	Resistant starch	31246619.5	38016248.25	732770.5269	66100.43413	2887644.679	679890.1796	503307.5913	358830.9281	41548.84431	1339950.229	75543.35329	165251.0853	795093.7934	5140725.191	179415.4641
sample184	31	BR4	Beijing	4	5	Resistant starch	76050395.15	29896697.89	1305192.952	65691.83069	1728732.387	447741.6881	914499.4325	1175538.023	32845.91535	1574875.204	145213.5205	157314.6472	1272347.037	4603614.346	471943.9415
sample199	32	BR4	Beijing	4	8	Resistant starch	98774610	33982492.1	1605790.156	62279.07314	2853054.837	496549.3669	934186.0971	84160.90965	136340.6736	2114122.05	188520.4376	745665.6595	821410.4782	1070526.771	429220.6392
sample214	33	BR4	Beijing	4	13	Resistant starch	79944804.13	20845660.89	8607322.715	47426.45227	9639137.238	810876.6595	168884.4398	390979.0455	151533.2987	439562.2405	65934.33608	2190870.746	175824.8962	790055.2902	90225.93359
sample229	34	BR4	Beijing	4	19	Resistant starch	83176757.64	12667593.6	2983464.586	217620.8767	5902231.074	492587.7952	9157721.756	341135.4283	176449.3595	1070459.447	83813.44574	1039580.809	758732.2457	7169725.639	120573.729
sample244	35	BR4	Beijing	4	25	Resistant starch	121336277.7	14803965.87	13093093.09	129790.349	4210320.262	987193.2608	5579018.488	145522.5125	247781.5754	3645928.895	161254.6761	2932081.976	4601657.829	9431432.029	3598732.405
sample259	36	BR4	Beijing	4	31	Resistant starch	84689141.15	3969967.942	3001683.078	195761.9399	5971791.65	496772.2345	9087142.951	84198.68382	850406.7066	8329354.797	189447.0386	574656.0171	7651555.392	4418325.933	3791045.739
sample140	37	BR5	Beijing	5	0	Resistant starch	44766611.49	21104657.98	2521812.74	2770192.287	7735248.727	909880.1747	2392553.997	7910128.204	86172.49565	2978020.07	14231134.21	740069.6685	1505484.189	5568263.91	390310.7156
sample155	38	BR5	Beijing	5	1	Resistant starch	30537413.12	44664102.29	594113.0958	1746692.502	3043179.302	400036.1512	1345336.099	231043.9817	29045.52913	1036397.289	1061482.064	254808.5055	1342695.596	5114653.629	161070.6615
sample170	39	BR5	Beijing	5	3	Resistant starch	48801872.28	38188304.08	1135566.45	172143.1943	1921060.185	407935.973	3468902.352	766688.1762	63649.58444	3087004.845	11966121.87	105600.4469	4908250.909	4548052.124	10240350.19
sample185	40	BR5	Beijing	5	5	Resistant starch	47456936.02	28971108.03	782251.0732	25592.85161	802280.2614	180262.694	5384513.433	1013699.47	67876.69341	3913480.831	9884404.386	109047.8025	7920431.208	2888654.034	16985864.34
sample200	41	BR5	Beijing	5	8	Resistant starch	62516902.82	24483588.85	4784825.434	15120.58599	2790588.148	898834.834	1806069.994	1821190.58	60482.34397	1276849.484	2552018.903	322572.5012	1468376.906	2610821.181	171366.6413
sample215	42	BR5	Beijing	5	13	Resistant starch	102770935.5	8372744.354	10805791.84	60769.9187	10913827.25	1444973.622	7080820.897	1224401.325	202566.3957	4510478.41	207067.8711	2772908.883	3097015.116	1231153.538	738241.9753
sample230	43	BR5	Beijing	5	19	Resistant starch	81343242.5	14178172.3	1502799.841	208855.5689	5922375.73	933848.4633	2950384.991	264070.2596	232861.9562	4551611.019	156041.517	674579.4812	3356092.935	6064013.415	4040274.971
sample245	44	BR5	Beijing	5	25	Resistant starch	89120442.94	26382821.01	2855241.617	541913.2049	8610398.7	862399.5089	3521464.661	118482.8154	217542.2185	6232973.027	233080.9483	1179001.13	2251173.493	11061633.34	666223.044
sample260	45	BR5	Beijing	5	31	Resistant starch	62107734.81	7489202.31	3994301.328	2789069.806	14551119.85	548979.8034	3206438.688	63101.12683	405650.1011	2186003.322	64002.5715	1674884.195	1459438.919	5083246.489	73017.01819
sample406	46	GR1	Guangdong	6	0	Resistant starch	16252531.14	1118374.939	429802.4839	2892004.31	43313.42861	453125.0993	2295611.717	13888062.17	222120.1467	2764285.226	81073.85356	1003983.063	2019072.134	1766965.767	874042.7774
sample421	47	GR1	Guangdong	6	1	Resistant starch	46636401.39	7450383.049	1250810.804	2390387.98	170255.5541	1595862.061	4324491.075	14228824.18	43131.40705	4778505.886	206576.739	717343.4014	4195096.854	2054417.02	740044.1419
sample436	48	GR1	Guangdong	6	3	Resistant starch	44970186.55	19838320.45	10886508.67	1159282.658	5642865.918	3289752.443	35262153.96	9827031.803	95967.10745	22943816.05	29296838.56	1186153.448	11861534.48	20087834.93	4126585.62
sample451	49	GR1	Guangdong	6	5	Resistant starch	32498855.78	4428083.902	5254659.564	187619.555	1308088.785	1999525.886	3483426.003	8774822.263	38048.72094	2000837.911	124642.3617	21922623.38	1789601.909	4569782.587	671756.7283
sample466	50	GR1	Guangdong	6	8	Resistant starch	51437313.95	11119578.89	5118083.981	236526.1528	585615.9566	2680154.779	1746873.875	8037614.626	74092.52979	3101912.257	17098.2761	772272.1374	1981975.172	4157730.806	195205.3189
sample481	51	GR1	Guangdong	6	13	Resistant starch	76401062.76	8914310.676	4122581.784	203039.3598	278958.4248	1521912.419	1345356.454	14938400.2	44138.99127	6483135.037	30014.51406	2224605.16	2228136.279	2007441.323	218929.3967
sample496	52	GR1	Guangdong	6	19	Resistant starch	58300258.99	29623500.23	4449818.789	143283.3616	3180354.988	1442207.293	397711.7606	21015785.76	74989.42287	4937250.038	16069.16204	2309942.044	445919.2467	2056852.742	68293.93869
sample511	53	GR1	Guangdong	6	25	Resistant starch	700670.6577	1623962.427	2739411.367	67958.02365	2917508.257	28994642.3	7334779.794	98421.96529	20298358.65	19644555.6	75461526.82	133572.6672	10660036.19	49210.98264	717074.3185
sample526	54	GR1	Guangdong	6	31	Resistant starch	178759542.8	7402709.572	494824.7655	835631.2266	7766454.929	1500859.223	2713343.748	8798705.268	399792.1947	13484794.11	593134.3216	2408584.124	2497062.724	455500.9431	14444950.77
sample407	55	GR2	Guangdong	7	0	Resistant starch	18285295.42	199475.95	2077505.079	2330174.616	60581.58482	2081937.878	1490898.026	12408881.69	437369.4904	4443142.086	82745.57926	1037274.94	2373025.005	10016647.89	305863.1233
sample422	56	GR2	Guangdong	7	1	Resistant starch	28709865.04	8537363.99	2696514.228	791561.82	152012.7371	2593802.919	1710485.663	17821096.82	67104.72177	3594895.809	136948.4118	431387.4971	1143519.238	3184050.574	83538.53118
sample437	57	GR2	Guangdong	7	3	Resistant starch	64804050.98	7421562.87	3204892.829	3007381.992	4362008.205	1511144.235	26261488.1	13192233.27	121115.136	11418362.36	411791.4623	406201.5329	5232173.874	16154895.83	14002773.03
sample452	58	GR2	Guangdong	7	5	Resistant starch	62325772.88	4264394.987	5957816.796	75699.31929	1017735.293	4169069.918	4903633.683	10569867.92	75699.31929	10491364.92	605594.5543	5343811.206	6818546.093	5792399.765	473821.6652
sample467	59	GR2	Guangdong	7	8	Resistant starch	36979415.53	6020414.969	4866636.147	160856.363	412377.2216	2526907.23	2389448.156	11868274.93	58493.22292	9857570.393	65804.87579	2121841.662	2431855.743	5087448.064	384592.9407
sample482	60	GR2	Guangdong	7	13	Resistant starch	88884896.69	4465178.129	2228154.045	124180.5598	191592.8637	498496.2472	1869804.429	4910454.136	39028.17594	6856540.909	33706.15195	2700040.172	3702354.69	301581.3595	1940764.749
sample497	61	GR2	Guangdong	7	19	Resistant starch	95477221.38	6848177.548	10481190.28	652501.4375	701902.1773	4275222.352	3373658.852	31807901.31	113210.0286	8112013.139	94684.75118	2677931.767	6979912.854	2239500.202	189369.5024
sample512	62	GR2	Guangdong	7	25	Resistant starch	546874.4967	1014596.106	2823119.661	98341.46652	921051.784	40802114.32	11568314.46	107935.7559	18972707.32	25192205.44	75950793.59	71957.17062	11246905.77	28782.86825	328604.4125
sample527	63	GR2	Guangdong	7	31	Resistant starch	154606506.8	8127128.08	1044389.155	1947644.64	7981651.836	883713.9002	2427499.116	11694552.99	301808.9241	8730745.928	714353.4967	1945473.353	1578525.812	670927.7522	6902522.085
sample408	64	GR3	Guangdong	8	0	Resistant starch	15048112.05	3898821.034	976464.6542	71255.52882	121398.3084	4000865.988	1555305.864	7630499.469	241916.9188	3298867.075	76533.71614	599074.2608	1534193.114	3592686.169	469758.6715
sample423	65	GR3	Guangdong	8	1	Resistant starch	37171467.84	12873091.86	2085374.469	532412.4837	281149.2118	3385966.295	864478.4819	8373597.587	46489.23974	1995716.649	87444.04619	284469.8718	938639.8882	4272582.51	109581.7794
sample438	66	GR3	Guangdong	8	3	Resistant starch	34183812.85	195799.9898	5200638.753	42980.48556	124165.8472	1208229.205	10014453.14	3357253.483	148043.8947	13061292	36070178.61	888263.3683	8624750.769	29398652.12	7168189.87
sample453	67	GR3	Guangdong	8	5	Resistant starch	50380002.14	8275034.956	5265317.032	285159.6237	2109640.628	1589325.675	4522009.956	45364706.58	58113.09866	5957268.347	2313712.207	2646173.19	1940707.202	404088.7558	227046.525
sample468	68	GR3	Guangdong	8	8	Resistant starch	18882291.32	3217681.83	3902456.87	127063.8131	134672.4247	2316822.221	4976792.823	11788782.76	49455.97516	4201475.305	42608.22475	574450.173	2475842.202	2510080.955	166628.5932
sample483	69	GR3	Guangdong	8	13	Resistant starch	41896239.81	4262434.246	9076633.778	119454.3405	170649.0579	1867659.133	3845292.104	17844203.15	56883.01929	7646973.893	140311.4476	4141083.804	4317421.164	2153970.331	822907.6791
sample498	70	GR3	Guangdong	8	19	Resistant starch	81769059.58	19797219.43	8941878.277	167195.785	2879482.963	3513175.63	1899013.854	18220212.27	72245.09227	3791835.271	26833.89141	6438069.794	1525403.52	2770083.252	55731.92832
sample513	71	GR3	Guangdong	8	25	Resistant starch	901361.939	1830642.168	4056128.725	83754.87043	5396206.652	53491443.92	14916343.59	87743.1976	21696499.77	26299029.32	63649713.2	107684.8334	9623833.446	55836.58029	3561576.157
sample528	72	GR3	Guangdong	8	31	Resistant starch	70682102.08	4763468.551	26479704.33	12189298.68	3979151.222	2719926.151	13542066.18	3367527.616	5008117.993	19471217.37	1467896.653	223062.7267	25860885.15	35977.85915	11397785.78
sample409	73	GR4	Guangdong	9	0	Resistant starch	14541306.61	4537817.253	239768.1006	1704824.903	118800.1077	265349.1457	1054459.35	966009.635	105359.2196	1212714.968	19510.9666	285293.6893	549342.1039	1063564.468	334287.8943
sample424	74	GR4	Guangdong	9	1	Resistant starch	30543541.57	16730080.85	622189.5677	525025.7174	134665.6872	568493.7557	1835033.067	601734.0202	31535.63562	2157207.939	116767.0832	143188.832	1548655.403	1431036.006	173872.1532
