StateID	microbe	keystoneness
10	Lachnospiraceae	101452.571020486
3	Bacteroides.acidifaciens	284.018778721877
2	Muribaculaceae	0
4	Akkermansia.muciniphila	0
5	Parasutterella	0
6	Bacteroides	0
7	Lachnospiraceae.NK4A136.group	0
8	Alloprevotella	0
9	Parabacteroides.goldsteinii	0
11	Lachnospiraceae.bacterium.28.4	0
12	Clostridia.UCG.014	0
13	Oscillospiraceae	0
14	Rikenellaceae.RC9.gut.group	0
15	Mucispirillum.schaedleri	0
1	Faecalibaculum	NA
