parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
interaction	Porphyromonadaceae	Ruminococcaceae	-8.2019e-08	0.38906	4.7278e-08
interaction	Porphyromonadaceae	Enterobacteriaceae	0	0	0
interaction	Porphyromonadaceae	Desulfovibrionaceae	0	0	0
interaction	Porphyromonadaceae	Erysipelotrichaceae	0	0.00022227	1.4105e-09
interaction	Porphyromonadaceae	Rikenellaceae	0	0.00035568	1.6967e-09
interaction	Porphyromonadaceae	Barnesiellaceae	0	0	0
interaction	Porphyromonadaceae	Erysipelatoclostridiaceae	0	4.4446e-05	5.1992e-10
interaction	Porphyromonadaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Prevotellaceae	Bacteroidaceae	0	0	0
interaction	Prevotellaceae	Akkermansiaceae	0	0	0
interaction	Prevotellaceae	Lachnospiraceae	0	0	0
interaction	Prevotellaceae	Sutterellaceae	0	0	0
interaction	Prevotellaceae	Porphyromonadaceae	0	0	0
interaction	Prevotellaceae	Prevotellaceae	-0.00010852	266.0736	5.5918e-05
interaction	Prevotellaceae	Acidaminococcaceae	0	0	0
interaction	Prevotellaceae	Ruminococcaceae	0	0	0
interaction	Prevotellaceae	Enterobacteriaceae	0	0.00022227	1.0839e-06
interaction	Prevotellaceae	Desulfovibrionaceae	0	0.016903	7.0787e-06
interaction	Prevotellaceae	Erysipelotrichaceae	0	0	0
interaction	Prevotellaceae	Rikenellaceae	0	0	0
interaction	Prevotellaceae	Barnesiellaceae	0	0.0022718	1.201e-06
interaction	Prevotellaceae	Erysipelatoclostridiaceae	0	0	0
interaction	Prevotellaceae	Clostridiales_Incertae_Sedis_XIII	0	0.00026674	1.4477e-06
interaction	Acidaminococcaceae	Bacteroidaceae	0	0	0
interaction	Acidaminococcaceae	Akkermansiaceae	0	0	0
interaction	Acidaminococcaceae	Lachnospiraceae	0	0	0
interaction	Acidaminococcaceae	Sutterellaceae	0	4.4446e-05	1.0233e-08
interaction	Acidaminococcaceae	Porphyromonadaceae	0	0	0
interaction	Acidaminococcaceae	Prevotellaceae	0	0.00031121	7.4237e-07
interaction	Acidaminococcaceae	Acidaminococcaceae	-5.2427e-06	266.0736	1.556e-06
interaction	Acidaminococcaceae	Ruminococcaceae	0	0	0
interaction	Acidaminococcaceae	Enterobacteriaceae	0	0	0
interaction	Acidaminococcaceae	Desulfovibrionaceae	0	0	0
interaction	Acidaminococcaceae	Erysipelotrichaceae	0	0	0
interaction	Acidaminococcaceae	Rikenellaceae	0	0	0
interaction	Acidaminococcaceae	Barnesiellaceae	0	0.0070268	2.6833e-06
interaction	Acidaminococcaceae	Erysipelatoclostridiaceae	0	0	0
interaction	Acidaminococcaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Ruminococcaceae	Bacteroidaceae	0	0	0
interaction	Ruminococcaceae	Akkermansiaceae	0	0	0
interaction	Ruminococcaceae	Lachnospiraceae	0	0	0
interaction	Ruminococcaceae	Sutterellaceae	0	0.00062261	6.621e-09
interaction	Ruminococcaceae	Porphyromonadaceae	0	0.00013335	2.1816e-09
interaction	Ruminococcaceae	Prevotellaceae	0	0	0
interaction	Ruminococcaceae	Acidaminococcaceae	0	0	0
interaction	Ruminococcaceae	Ruminococcaceae	-3.1474e-07	266.0736	7.9869e-08
interaction	Ruminococcaceae	Enterobacteriaceae	0	0.00017781	7.5411e-09
interaction	Ruminococcaceae	Desulfovibrionaceae	0	0	0
interaction	Ruminococcaceae	Erysipelotrichaceae	0	0.0332	5.6616e-08
interaction	Ruminococcaceae	Rikenellaceae	0	0	0
interaction	Ruminococcaceae	Barnesiellaceae	0	0	0
interaction	Ruminococcaceae	Erysipelatoclostridiaceae	0	0.0051374	3.2617e-08
interaction	Ruminococcaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Enterobacteriaceae	Bacteroidaceae	0	0	0
interaction	Enterobacteriaceae	Akkermansiaceae	0	0	0
interaction	Enterobacteriaceae	Lachnospiraceae	0	0	0
interaction	Enterobacteriaceae	Sutterellaceae	0	0	0
interaction	Enterobacteriaceae	Porphyromonadaceae	0	0	0
interaction	Enterobacteriaceae	Prevotellaceae	0	0.00013335	7.6437e-07
interaction	Enterobacteriaceae	Acidaminococcaceae	0	4.4446e-05	7.5106e-08
interaction	Enterobacteriaceae	Ruminococcaceae	0	0	0
interaction	Enterobacteriaceae	Enterobacteriaceae	-2.2737e-05	266.0736	3.6699e-06
interaction	Enterobacteriaceae	Desulfovibrionaceae	0	0	0
interaction	Enterobacteriaceae	Erysipelotrichaceae	0	0	0
interaction	Enterobacteriaceae	Rikenellaceae	0	0	0
interaction	Enterobacteriaceae	Barnesiellaceae	0	4.4446e-05	2.444e-07
interaction	Enterobacteriaceae	Erysipelatoclostridiaceae	0	0	0
interaction	Enterobacteriaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Desulfovibrionaceae	Bacteroidaceae	0	0	0
interaction	Desulfovibrionaceae	Akkermansiaceae	0	0	0
interaction	Desulfovibrionaceae	Lachnospiraceae	0	0	0
interaction	Desulfovibrionaceae	Sutterellaceae	0	0	0
interaction	Desulfovibrionaceae	Porphyromonadaceae	0	0	0
interaction	Desulfovibrionaceae	Prevotellaceae	0	0	0
interaction	Desulfovibrionaceae	Acidaminococcaceae	0	4.4446e-05	6.8256e-09
interaction	Desulfovibrionaceae	Ruminococcaceae	0	0	0
interaction	Desulfovibrionaceae	Enterobacteriaceae	0	0	0
interaction	Desulfovibrionaceae	Desulfovibrionaceae	-5.8453e-06	266.0736	1.142e-06
interaction	Desulfovibrionaceae	Erysipelotrichaceae	0	0	0
interaction	Desulfovibrionaceae	Rikenellaceae	0	0	0
interaction	Desulfovibrionaceae	Barnesiellaceae	0	0.00062261	1.5664e-06
interaction	Desulfovibrionaceae	Erysipelatoclostridiaceae	0	0	0
interaction	Desulfovibrionaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Erysipelotrichaceae	Bacteroidaceae	0	0	0
interaction	Erysipelotrichaceae	Akkermansiaceae	0	0	0
interaction	Erysipelotrichaceae	Lachnospiraceae	0	0.00031121	4.2278e-09
interaction	Erysipelotrichaceae	Sutterellaceae	0	0	0
interaction	Erysipelotrichaceae	Porphyromonadaceae	0	0	0
interaction	Erysipelotrichaceae	Prevotellaceae	0	0	0
interaction	Erysipelotrichaceae	Acidaminococcaceae	0	0	0
interaction	Erysipelotrichaceae	Ruminococcaceae	0	0.0010233	7.8059e-09
interaction	Erysipelotrichaceae	Enterobacteriaceae	0	0	0
interaction	Erysipelotrichaceae	Desulfovibrionaceae	0	0	0
interaction	Erysipelotrichaceae	Erysipelotrichaceae	-2.7372e-07	266.0736	5.4447e-08
interaction	Erysipelotrichaceae	Rikenellaceae	0	0	0
interaction	Erysipelotrichaceae	Barnesiellaceae	0	0	0
interaction	Erysipelotrichaceae	Erysipelatoclostridiaceae	0	0	0
interaction	Erysipelotrichaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Rikenellaceae	Bacteroidaceae	0	0	0
interaction	Rikenellaceae	Akkermansiaceae	0	0	0
interaction	Rikenellaceae	Lachnospiraceae	0	0	0
interaction	Rikenellaceae	Sutterellaceae	0	0	0
interaction	Rikenellaceae	Porphyromonadaceae	0	0	0
interaction	Rikenellaceae	Prevotellaceae	0	0	0
interaction	Rikenellaceae	Acidaminococcaceae	0	0	0
interaction	Rikenellaceae	Ruminococcaceae	0	0	0
interaction	Rikenellaceae	Enterobacteriaceae	0	0	0
interaction	Rikenellaceae	Desulfovibrionaceae	0	0	0
interaction	Rikenellaceae	Erysipelotrichaceae	0	0	0
interaction	Rikenellaceae	Rikenellaceae	-8.3518e-07	266.0736	1.4591e-07
interaction	Rikenellaceae	Barnesiellaceae	0	4.4446e-05	7.8043e-08
interaction	Rikenellaceae	Erysipelatoclostridiaceae	0	0	0
interaction	Rikenellaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Barnesiellaceae	Bacteroidaceae	0	0	0
interaction	Barnesiellaceae	Akkermansiaceae	0	0	0
interaction	Barnesiellaceae	Lachnospiraceae	0	0	0
interaction	Barnesiellaceae	Sutterellaceae	0	0	0
interaction	Barnesiellaceae	Porphyromonadaceae	0	0	0
interaction	Barnesiellaceae	Prevotellaceae	0	0.00031121	2.4954e-06
interaction	Barnesiellaceae	Acidaminococcaceae	0	0.00026674	5.2812e-07
interaction	Barnesiellaceae	Ruminococcaceae	0	0	0
interaction	Barnesiellaceae	Enterobacteriaceae	0	0	0
interaction	Barnesiellaceae	Desulfovibrionaceae	0	0.00080064	6.7235e-06
interaction	Barnesiellaceae	Erysipelotrichaceae	0	0	0
interaction	Barnesiellaceae	Rikenellaceae	0	0	0
interaction	Barnesiellaceae	Barnesiellaceae	-0.00067583	266.0736	0.00017594
interaction	Barnesiellaceae	Erysipelatoclostridiaceae	0	0	0
interaction	Barnesiellaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Erysipelatoclostridiaceae	Bacteroidaceae	0	0	0
interaction	Erysipelatoclostridiaceae	Akkermansiaceae	0	0	0
interaction	Erysipelatoclostridiaceae	Lachnospiraceae	0	4.4446e-05	8.796e-09
interaction	Erysipelatoclostridiaceae	Sutterellaceae	0	0	0
interaction	Erysipelatoclostridiaceae	Porphyromonadaceae	0	8.8897e-05	1.2757e-08
interaction	Erysipelatoclostridiaceae	Prevotellaceae	0	0	0
interaction	Erysipelatoclostridiaceae	Acidaminococcaceae	0	0.00031121	1.7458e-07
interaction	Erysipelatoclostridiaceae	Ruminococcaceae	0	0.00035568	2.7925e-08
interaction	Erysipelatoclostridiaceae	Enterobacteriaceae	0	0	0
interaction	Erysipelatoclostridiaceae	Desulfovibrionaceae	0	4.4446e-05	4.5835e-08
interaction	Erysipelatoclostridiaceae	Erysipelotrichaceae	0	0	0
interaction	Erysipelatoclostridiaceae	Rikenellaceae	0	4.4446e-05	1.3085e-10
interaction	Erysipelatoclostridiaceae	Barnesiellaceae	0	8.8897e-05	4.4176e-07
interaction	Erysipelatoclostridiaceae	Erysipelatoclostridiaceae	-1.8621e-06	266.0736	4.8062e-07
interaction	Erysipelatoclostridiaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Clostridiales_Incertae_Sedis_XIII	Bacteroidaceae	0	0	0
interaction	Clostridiales_Incertae_Sedis_XIII	Akkermansiaceae	0	8.8897e-05	1.9328e-07
interaction	Clostridiales_Incertae_Sedis_XIII	Lachnospiraceae	-5.1045e-05	26.6074	1.1543e-05
interaction	Clostridiales_Incertae_Sedis_XIII	Sutterellaceae	0	0	0
